Project Description,Team Size,Operating System,Languages / Technologies / Tools,Role,Responsibilities
,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned
,Not Mentioned,Not Mentioned,"Java, JavaScript, SQL, HTML, CSS",Not Mentioned,Not Mentioned
"
• Effectively co-coordinating, communicating and participating with the QA /Dev
H1B Status Travelled United States as part of project deployment on clients location and had onsite
working experience",Not Mentioned,"Windows, Linux","Java, JavaScript, HTML, CSS",Not Mentioned,Not Mentioned
,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned
,Not Mentioned,"Windows, Linux",Java,Not Mentioned,Not Mentioned
"
Role : Developer/Module Lead/Tech Lead
Responsibilities :
As a Developer:
• To monitor and develop some of the core modules of the project from scratch",Not Mentioned,Not Mentioned,Not Mentioned,"
Role : Developer/Module Lead/Tech Lead
Responsibilities :
As a Developer:
• To monitor and develop some of the core modules of the project from scratch","
Role : Developer/Module Lead/Tech Lead
Responsibilities :
As a Developer:
• To monitor and develop some of the core modules of the project from scratch"
,Not Mentioned,"Windows, Linux",Java,Not Mentioned,Not Mentioned
"
Role : Developer/Module Lead
Responsibilities :
As a Developer:
• To monitor and develop some of the core modules of the project from scratch",Not Mentioned,Not Mentioned,Not Mentioned,"
Role : Developer/Module Lead
Responsibilities :
As a Developer:
• To monitor and develop some of the core modules of the project from scratch","
Role : Developer/Module Lead
Responsibilities :
As a Developer:
• To monitor and develop some of the core modules of the project from scratch"
,Not Mentioned,Windows,"Java, HTML",Not Mentioned,Not Mentioned
" In this present project there were multiple java APIs written for data coordination and processing | 
Role : Developer/Module Lead
Responsibilities :
As a Developer:
• To monitor and develop some of the core modules of the project from scratch
• To support and maintain the existing application
• To draft System Requirement Specifications (SyRS) for the existing application",Not Mentioned,Not Mentioned,Java,"
Role : Developer/Module Lead
Responsibilities :
As a Developer:
• To monitor and develop some of the core modules of the project from scratch
• To support and maintain the existing application
• To draft System Requirement Specifications (SyRS) for the existing application","
Role : Developer/Module Lead
Responsibilities :
As a Developer:
• To monitor and develop some of the core modules of the project from scratch
• To support and maintain the existing application
• To draft System Requirement Specifications (SyRS) for the existing application"
,Not Mentioned,Windows,"Java, HTML",": MRM Consortium UI Modernization (Onsite Position under H1B) –TCS (Oct 2016 to May
2017)
Team Size 50
Operating System Windows 7
Languages / Technologies / Tools JAVA, Struts 1",Not Mentioned
"Description:
MRM UI Modernization is the project under MDES (Mississippi Department of Employment Security) is the insurance security
program for state and federal govt of United States for all the employees who have nominated under this programme |  This
project consists of different modules including Nomination, Weekly cert, Payments, Repayments, Over Payments etc for the
insurance life cycle | 
• To develop all the core modules of the project from scratch",Not Mentioned,Not Mentioned,Not Mentioned,"com
Mob: +91 9966861242
Role : Developer
Responsibilities
As a Developer:
• To draft and prepare Technical Design documents for existing portals and Web portal","com
Mob: +91 9966861242
Role : Developer
Responsibilities
As a Developer:
• To draft and prepare Technical Design documents for existing portals and Web portal"
,Not Mentioned,Windows,"Java, JavaScript, HTML",Not Mentioned,Not Mentioned
,Not Mentioned,Not Mentioned,Java,"
Role : Developer
Responsibilities :
As a Developer:
• Participating in daily scrum calls
• Preparing design documents
• Developing the requirement using spring, java
• Conduct Code Reviews
• Testing the Code Developed
• Fixing the Bugs
As a Module Lead:
• Leading & working with the team to find and implement the technical practices needed to get to ‘Done’ at the end of each release
cycle
• Removing impediments to the team’s progress
• Facilitate meetings and always acts as a coach for the team, helping it execute the process
• Help team members work together and learn the framework, and protect them from both internal and external distractions
• keep the team on track, productive, and growing in abilityupendra","
Role : Developer
Responsibilities :
As a Developer:
• Participating in daily scrum calls
• Preparing design documents
• Developing the requirement using spring, java
• Conduct Code Reviews
• Testing the Code Developed
• Fixing the Bugs
As a Module Lead:
• Leading & working with the team to find and implement the technical practices needed to get to ‘Done’ at the end of each release
cycle
• Removing impediments to the team’s progress
• Facilitate meetings and always acts as a coach for the team, helping it execute the process
• Help team members work together and learn the framework, and protect them from both internal and external distractions
• keep the team on track, productive, and growing in abilityupendra"
,Not Mentioned,"Windows, Linux","Java, HTML",Not Mentioned,Not Mentioned
"Description:
The project deals with total digitization of all crime and administration functions of AP Police Department across nearly 1600 police stations
and almost 2lakh police personnel | 
• To monitor and develop all the core modules of the project from scratch
• Integrating the already developed investigation tools such as Third Eye and Criminal Intelligence System (CIS) into the application
• Developing the Citizen Portal module to improve the service delivery to the public
• Create a platform for sharing crime & criminal information among police personnel across the country
• Interact with the clients on the progress of development on a weekly and monthly basis
• Providing training to all the system integrators at police department on how to use the Application
As a Module Lead:
• Leading & working with the team to find and implement the technical practices needed to get to ‘Done’ at the end of each release
cycle
• Removing impediments to the team’s progress
• Facilitate meetings and always acts as a coach for the team, helping it execute the process
• Help team members work together and learn the framework, and protect them from both internal and external distractions
• keep the team on track, productive, and growing in ability",Not Mentioned,Not Mentioned,Not Mentioned,"
Role : Developer
Responsibilities :
As a Developer:
• To attend trainings by police personnel about the functioning of Police Department
• To draft System Requirement Specifications (SyRS) for the existing application","
Role : Developer
Responsibilities :
As a Developer:
• To attend trainings by police personnel about the functioning of Police Department
• To draft System Requirement Specifications (SyRS) for the existing application"
